mail_delivery,mailSubscriptionCheck
gender,gender
questionnaire,exclude
pc_email,email
other,unknown
password,password
password_confirmation,password
birthday_year,birthDate
birthday_month,birthDate
birthday_day,birthDate
family_name,userName
first_name,userName
family_name_furigana,userName
pc_email_confirmation,email
first_name_furigana,userName
address_town,address
prefecture,addressPrefecture
entry_path,unknown
phone_number,telephone
address_building,address
next_button,nextButton
address_prefecture,addressPrefecture
address_street,address
service_term,serviceTermCheck
postal_code,postalCode
phone_number_first,telephone
phone_number_middle,telephone
phone_number_last,telephone
card_number,unknown
user_id,unknown
job,unknown
postal_code_last,postalCode
postal_code_first,postalCode
user_name,userName
birthday,birthDate
company_name,unknown
user_type,unknown
search_window,unknown
user_name_furigana,userName
postal_delivery,mailSubscriptionCheck
company_department,unknown
country,address-country
nickname,nickname
payment_type,unknown
tel_type,unknown
privacy_policy,serviceTermCheck
security_question,securityQuestion
security_answer,securityAnswer
search_button,unknown
postal_code_search,postalCodeSearchButton
back_button,backButton
mail_format,unknown
address_type,unknown
mobile_email,email
mail_to,unknown
industry,unknown
service_type,unknown
pc_email_domain,email-domain
fax_number,unknown
company_name_furigana,unknown
pc_email_confirmation_body,email-body
pc_email_confirmation_domain,email-domain
pc_email_body,email-body
month,unknown
captcha,unknown
job_title,unknown
mobile_email_body,email-body
year,unknown
mobile_email_domain,email-domain
search_category,unknown
era_name,unknown
purchase_shop,unknown
day,unknown
address,address
employee_number,unknown
family_name_roma,unknown
first_name_roma,unknown
pin_code,unknown
town,unknown
fax_number_first,unknown
fax_number_middle,unknown
job_detail,unknown
fax_number_last,unknown
family_structure,unknown
delivery_time,unknown
region,unknown
tel_delivery,unknown
mobile_email_confirmation,email
inquiry_type,unknown
email_type,unknown
card_user_name,unknown
language,unknown
invitation_program,unknown
houjin_name,unknown
tcard,unknown
mobile_email_body_confirm,email-body
income,unknown
marriage,unknown
mail_is_user_id,unknown
purchase_reason,unknown
shop_name,unknown
auto_login,unknown
address_atena,unknown
house_type,unknown
card_number_confirmation,unknown
security_code,unknown
blood_type,unknown
building_name,unknown
mobile_email_domain_confirmation,email-domain
company_department_furigana,unknown
building_name_furigana,unknown
user_customization,unknown
user_agreement,unknown
pc_type,unknown
pc_experience,unknown
birthday_nengo,unknown
